subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime,attention
1,SB,S,S,False,True,False,0,716.6666666666667,
1,BS,S,S,False,True,False,1,583.3333333333334,
1,BS,B,B,False,True,False,2,716.6666666666667,
1,BS,B,S,True,True,False,3,600.0,
1,SB,S,S,False,True,False,4,633.3333333333334,
1,BS,S,S,False,True,False,5,550.0,
1,BS,B,B,False,True,False,6,500.00000000000006,
1,BS,B,S,True,True,False,7,583.3333333333334,
1,SB,B,S,True,True,False,8,533.3333333333334,
1,SB,S,B,True,True,False,9,583.3333333333334,
1,SB,S,S,False,True,False,10,550.0,
1,SB,B,B,False,True,False,11,466.6666666666667,
1,BS,B,S,True,True,False,12,616.6666666666667,
1,BS,S,B,True,True,False,13,483.33333333333337,
1,BS,S,S,False,True,False,14,450.00000000000006,
1,SB,B,S,True,True,False,15,433.33333333333337,
1,SB,B,B,False,True,False,16,500.00000000000006,
1,SB,S,S,False,True,False,17,483.33333333333337,
1,SB,B,S,True,True,False,18,416.6666666666667,
1,SB,S,B,True,True,False,19,516.6666666666667,
1,BS,B,S,True,True,False,20,766.6666666666667,
1,BS,S,S,False,True,False,21,550.0,
1,SB,B,S,True,True,False,22,466.6666666666667,
1,BS,B,S,True,True,False,23,500.00000000000006,
1,BS,S,S,False,True,False,24,500.00000000000006,
1,SB,S,B,True,True,False,25,466.6666666666667,
1,SB,S,S,False,True,False,26,450.00000000000006,
1,BS,B,B,False,True,False,27,533.3333333333334,
1,SB,S,B,True,True,False,28,500.00000000000006,
1,BS,S,S,False,True,False,29,600.0,
1,BS,B,B,False,True,False,30,550.0,
1,SB,S,S,False,True,False,31,616.6666666666667,
1,BS,B,S,True,True,False,32,716.6666666666667,
1,SB,B,S,True,True,False,33,533.3333333333334,
1,SB,B,S,True,True,False,34,866.6666666666667,
1,SB,S,B,True,True,False,35,616.6666666666667,
1,BS,S,S,False,True,False,36,450.00000000000006,
1,SB,B,B,False,True,False,37,450.00000000000006,
1,BS,B,S,True,True,False,38,600.0,
1,SB,S,S,False,True,False,39,750.0,84.0
2,SB,S,B,True,True,False,0,883.3333333333334,
2,BS,S,B,True,True,False,1,433.33333333333337,
2,SB,S,S,False,False,True,2,916.6666666666669,
2,SB,B,B,False,False,True,3,916.6666666666669,
2,SB,S,B,True,True,False,4,666.6666666666667,
2,BS,S,B,True,True,False,5,466.6666666666667,
2,SB,S,S,False,True,False,6,733.3333333333334,
2,SB,B,B,False,True,False,7,616.6666666666667,
2,BS,B,B,False,True,False,8,416.6666666666667,
2,BS,B,S,True,True,False,9,533.3333333333334,
2,BS,B,B,False,True,False,10,433.33333333333337,
2,BS,B,S,True,True,False,11,583.3333333333334,
2,BS,S,B,True,True,False,12,416.6666666666667,
2,SB,S,S,False,True,False,13,466.6666666666667,
2,SB,S,B,True,True,False,14,433.33333333333337,
2,SB,B,B,False,True,False,15,566.6666666666667,
